lat1,long1,lat2,long2,mode,distance,comment
47.3638955,8.4985941,41.013840,28.949660,plane,1767,zurich-ist
41.013840,28.949660,41.0252245,39.6475389,plane,904,ist-trabzon
41.0252245,39.6475389,41.6141476,41.6164069,car,257,trabzon-batumi
41.6141476,41.6164069,41.719033,44.7851814,car,374,batumi-tiflisi
41.719033,44.7851814,40.3646599,49.8811179,train,500,tiflisi-baku
40.3646599,49.8811179,38.0738089,46.2738213,car,558,baku-tabris
38.0738089,46.2738213,35.6626699,51.4032903,car,627,tabris-tehran
35.6626699,51.4032903,32.6540353,51.6654044,train,446,tehran-isfahan
32.6540353,51.6654044,29.5926035,52.5939251,train,481,isfahan-shiras
29.5926035,52.5939251,27.1871153,56.2714699,car,557,shiras-bandar abbas
27.1871153,56.2714699,27.20329,60.6805137,car,550,bandar abbas-iranshar
27.20329,60.6805137,26.0000791,63.0342112,car,356,iranshar-turbat
26.0000791,63.0342112,24.8660743,66.9748304,car,685,turbat-karatschi
24.8660743,66.9748304,25.3942994,68.3385154,car,165,karatschi-hyderbad
25.3942994,68.3385154,31.5445924,74.3224477,train,1088,hyderbad-lahore
31.5445924,74.3224477,30.8984796,75.8499508,car,150,lahore-ludihana
30.8984796,75.8499508,28.6297655,77.1730108,train,320,ludihana-dheli
28.6297655,77.1730108,27.7323114,75.3476018,train,280,dheli-jaipur
27.7323114,75.3476018,27.1743372,77.9145676,train,247,jaipur-agra
27.1743372,77.9145676,28.6297655,77.1730108,train,210,agra-dheli
28.6297655,77.1730108,25.1607537,55.3062158,plane,2210,dheli-dubai
25.1607537,55.3062158,47.3638955,8.4985941,plane,4476,dubai-zrh
